Code,Name,Old Location,New Location,Coming Stock,Stock
,,,,0.0,171.0
,,,,0.0,180.0
,,,,0.0,0.0
,,,,0.0,6.0
,,,,0.0,0.0
Pr885,,,G-07-04,,
,,,,0.0,0.0
PR3151,C-08-04_3151 Stage Light 54 LED_A2_CAS_,C-08-04,C-08-04,30,0
2.5T_BLACK2.5T_BLACK,,,P-03-01,,
,,,,0.0,0.0
,,,,0.0,0.0
PR3393,,,Y-02-02,,
HISEEU_4CH_POEDOME_5MP_TR4108,,,B-01-06,,
Pr4937,,,F-07-04,,
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
PR2349,,,Y-05-02,,
,,,,0.0,6.0
,,,,0.0,13.0
,,,,0.0,0.0
,,,,0.0,9.0
,,,,0.0,1.0
,,,,0.0,1.0
,,,,0.0,9.0
,,,,0.0,4.0
,,,,10.0,0.0
,,,,15.0,0.0
,,,,0.0,9.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,2.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,11.0
,,,,0.0,0.0
,,,,0.0,22.0
,,,,0.0,0.0
,,,,0.0,4.0
,,,,0.0,7.0
,,,,0.0,9.0
,,,,0.0,0.0
,,,,20.0,12.0
,,,,0.0,6.0
,,,,0.0,0.0
,,,,15.0,9.0
,,,,15.0,11.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,6.0
,,,,0.0,4.0
,,,,0.0,0.0
,,,,0.0,5.0
,,,,0.0,2.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,20.0,14.0
,,,,24.0,8.0
,,,,20.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,5.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,4.0
,,,,0.0,0.0
,,,,0.0,28.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,2.0
,,,,0.0,0.0
,,,,0.0,5.0
,,,,0.0,4.0
,,,,0.0,8.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,20.0,0.0
,,,,0.0,0.0
,,,,10.0,9.0
PR3420,,,Y-04-01,,
PR739,,,Y-02-01,,
,,,,0.0,0.0
,,,,0.0,26.0
,,,,0.0,3.0
,,,,0.0,24.0
,,,,0.0,26.0
,,,,0.0,6.0
,,,,0.0,10.0
,,,,0.0,8.0
,,,,0.0,20.0
,,,,0.0,11.0
,,,,0.0,16.0
,,,,0.0,15.0
,,,,0.0,0.0
,,,,0.0,18.0
,,,,0.0,1.0
,,,,20.0,10.0
,,,,0.0,15.0
,,,,0.0,6.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,4.0
,,,,0.0,0.0
,,,,0.0,4.0
,,,,0.0,19.0
,,,,0.0,0.0
,,,,0.0,9.0
,,,,0.0,0.0
,,,,0.0,17.0
,,,,0.0,15.0
,,,,0.0,10.0
,,,,0.0,18.0
,,,,0.0,14.0
,,,,0.0,0.0
,,,,0.0,5.0
,,,,0.0,6.0
,,,,0.0,10.0
,,,,0.0,17.0
DONUT_CUSION,I-01-01_SR_KK123_A2_Donut Cusion Blue,I-01-01,F-01-01,20,0
ZDESK140_COFFEE_SP503,,,R-04-04,,
,,,,0.0,7.0
,,,,0.0,2.0
,,,,0.0,8.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,10.0,3.0
,,,,10.0,0.0
,,,,0.0,0.0
,,,,0.0,2.0
,,,,0.0,3.0
PR2492,D-07-01_2492 LED Light Bar Wiring Harness Kit,D-07-01,D-07-01,15,0
,,,,0.0,10.0
,,,,50.0,7.0
,,,,0.0,0.0
,,,,0.0,14.0
,,,,50.0,-17.0
,,,,10.0,0.0
,,,,0.0,15.0
,,,,200.0,0.0
,,,,0.0,0.0
PR760,F-06-01_760 Manual Meat Grinder,F-06-01,F-06-03,24,0
CLOTHES_HOLDER_153CM_COFFEE ,,,O-06-04,,
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,4.0
,,,,0.0,0.0
,,,,0.0,11.0
,,,,0.0,2.0
,,,,0.0,0.0
,,,,0.0,15.0
,,,,0.0,0.0
,,,,0.0,13.0
,,,,0.0,8.0
,,,,0.0,0.0
FURNITURE_STA ND_16INCH4PCS,,,L-01-101,,
Pr2222,,,I-01-04,,
,,,,0.0,19.0
